Report Type,Service Name,Service ID,Service Type,Depends On (Target),Dependency ID
Active Relationship,DTV Sydney,PFQNYAO,Business,ABC TV SD-DTV-Sydney,D2G7JY2JT73MW4ZKJ8Z
Active Relationship,DTV Sydney,PFQNYAO,Business,ABC Entertains-DTV-Sydney,D2G7JY2JT73MW4ZKJ93
Active Relationship,DTV Sydney,PFQNYAO,Business,ABC News-DTV-Sydney,D2G7JY2JT73MW4ZKJ9H
Active Relationship,DTV Sydney,PFQNYAO,Business,ABC TV HD-DTV-Sydney,D2G7JY2JT73MW4ZKJ9I
Active Relationship,DTV Sydney,PFQNYAO,Business,ABC TV KIDSFamily-DTV-Sydney,D2G7JY2JT73MW4ZKJ8X
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC Radio National-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPXQ
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC Country-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPXR
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC Jazz-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPXX
Active Relationship,DAB Adelaide,PA51SYL,Business,Double J-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPY0
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC NewsRadio-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPY3
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC Local Radio-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPYR
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC Classic-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPYS
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC Sport-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPYX
Active Relationship,DAB Adelaide,PA51SYL,Business,triple j Unearthed-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPZ2
Active Relationship,DAB Adelaide,PA51SYL,Business,triple j-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPZH
Active Relationship,DAB Adelaide,PA51SYL,Business,ABC KIDS listen-DAB-SA-Adelaide,D2G7KC0R4GSFO45KPXJ
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC Local Radio-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6Q5
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC NewsRadio-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6Q3
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC Sport-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6S9
Active Relationship,DAB Brisbane,PWVDRJY,Business,triple j-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6S7
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC KIDS listen-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6RW
Active Relationship,DAB Brisbane,PWVDRJY,Business,Double J-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6RB
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC Classic-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6R4
Active Relationship,DAB Brisbane,PWVDRJY,Business,triple j Unearthed-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6R0
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC Jazz-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6QP
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC Country-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6QH
Active Relationship,DAB Brisbane,PWVDRJY,Business,ABC Radio National-DAB-QLD-Brisbane,D2G7KC4N9UTGQAAD6QE
Active Relationship,DAB Canberra,PSJSR78,Business,ABC Classic-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NIR
Active Relationship,DAB Canberra,PSJSR78,Business,ABC KIDS listen-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NIE
Active Relationship,DAB Canberra,PSJSR78,Business,Double J-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NKO
Active Relationship,DAB Canberra,PSJSR78,Business,ABC Sport-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NKH
Active Relationship,DAB Canberra,PSJSR78,Business,ABC NewsRadio-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NK5
Active Relationship,DAB Canberra,PSJSR78,Business,triple j-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NK1
Active Relationship,DAB Canberra,PSJSR78,Business,ABC Jazz-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NJW
Active Relationship,DAB Canberra,PSJSR78,Business,ABC Radio National-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NJC
Active Relationship,DAB Canberra,PSJSR78,Business,ABC Country-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NJ9
Active Relationship,DAB Canberra,PSJSR78,Business,triple j Unearthed-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NJ7
Active Relationship,DAB Canberra,PSJSR78,Business,ABC Local Radio-DAB-ACT-Canberra,D2G7KC8JF8UHSGF5NJ1
Active Relationship,DAB Darwin,PPN4QUI,Business,ABC NewsRadio-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4BB
Active Relationship,DAB Darwin,PPN4QUI,Business,ABC Radio National-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4B5
Active Relationship,DAB Darwin,PPN4QUI,Business,triple j-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4CU
Active Relationship,DAB Darwin,PPN4QUI,Business,ABC Classic-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4CO
Active Relationship,DAB Darwin,PPN4QUI,Business,ABC Country-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4C2
Active Relationship,DAB Darwin,PPN4QUI,Business,Double J-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4BX
Active Relationship,DAB Darwin,PPN4QUI,Business,ABC KIDS listen-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4BU
Active Relationship,DAB Darwin,PPN4QUI,Business,ABC Local Radio-DAB-NT-Darwin,D2G7KCCFKMVIUMJY4C1
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC KIDS listen-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL3C
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC Jazz-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL39
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC Sport-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL5I
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC Classic-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL5H
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC Radio National-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL5E
Active Relationship,DAB Hobart,P8AGPFV,Business,triple j Unearthed-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL55
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC Local Radio-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL4W
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC Country-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL4F
Active Relationship,DAB Hobart,P8AGPFV,Business,triple j-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL47
Active Relationship,DAB Hobart,P8AGPFV,Business,Double J-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL40
Active Relationship,DAB Hobart,P8AGPFV,Business,ABC NewsRadio-DAB-TAS-Hobart,D2G7KCGBQ0WJWSOQL3E
Active Relationship,DAB Melbourne,P51VP35,Business,Double J-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1VW
Active Relationship,DAB Melbourne,P51VP35,Business,ABC Country-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1W2
Active Relationship,DAB Melbourne,P51VP35,Business,triple j Unearthed-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1W4
Active Relationship,DAB Melbourne,P51VP35,Business,ABC Radio National-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1WC
Active Relationship,DAB Melbourne,P51VP35,Business,triple j-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1WR
Active Relationship,DAB Melbourne,P51VP35,Business,ABC NewsRadio-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1X7
Active Relationship,DAB Melbourne,P51VP35,Business,ABC Local Radio-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1XF
Active Relationship,DAB Melbourne,P51VP35,Business,ABC KIDS listen-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1XG
Active Relationship,DAB Melbourne,P51VP35,Business,ABC Jazz-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1XI
Active Relationship,DAB Melbourne,P51VP35,Business,ABC Sport-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1XN
Active Relationship,DAB Melbourne,P51VP35,Business,ABC Classic-DAB-VIC-Melbourne,D2G7KCK7VEXKYYTJ1XR
Active Relationship,DAB Perth,P1S7OQF,Business,ABC NewsRadio-DAB-WA-Perth,D2G7KCO40SYM14YBIO9
Active Relationship,DAB Perth,P1S7OQF,Business,Double J-DAB-WA-Perth,D2G7KCO40SYM14YBIOQ
Active Relationship,DAB Perth,P1S7OQF,Business,ABC Country-DAB-WA-Perth,D2G7KCO40SYM14YBIOV
Active Relationship,DAB Perth,P1S7OQF,Business,triple j-DAB-WA-Perth,D2G7KCO40SYM14YBIP2
Active Relationship,DAB Perth,P1S7OQF,Business,ABC Local Radio-DAB-WA-Perth,D2G7KCO40SYM14YBIPI
Active Relationship,DAB Perth,P1S7OQF,Business,ABC Jazz-DAB-WA-Perth,D2G7KCO40SYM14YBIPP
Active Relationship,DAB Perth,P1S7OQF,Business,ABC Radio National-DAB-WA-Perth,D2G7KCO40SYM14YBIPR
Active Relationship,DAB Perth,P1S7OQF,Business,ABC Sport-DAB-WA-Perth,D2G7KCO40SYM14YBIPU
Active Relationship,DAB Perth,P1S7OQF,Business,ABC Classic-DAB-WA-Perth,D2G7KCO40SYM14YBIPZ
Active Relationship,DAB Perth,P1S7OQF,Business,triple j Unearthed-DAB-WA-Perth,D2G7KCO40SYM14YBIQ8
Active Relationship,DAB Perth,P1S7OQF,Business,ABC KIDS listen-DAB-WA-Perth,D2G7KCO40SYM14YBIQB
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC Radio National-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZHA
Active Relationship,DAB Sydney,PKOTOAM,Business,triple j Unearthed-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZHE
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC Sport-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZHG
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC Country-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZHL
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC Classic-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZHQ
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC Local Radio-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZHX
Active Relationship,DAB Sydney,PKOTOAM,Business,triple j-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZI0
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC Jazz-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZI2
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC KIDS listen-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZII
Active Relationship,DAB Sydney,PKOTOAM,Business,Double J-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZIS
Active Relationship,DAB Sydney,PKOTOAM,Business,ABC NewsRadio-DAB-NSW-Sydney,D2G7KCS066ZN3B33ZGW
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-QLD,D2G7KL3RP76WQFBZWEE
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-National,D2G7KL3RP76WQFBZWEL
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-SA,D2G7KL3RP76WQFBZWEM
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-WA,D2G7KL3RP76WQFBZWEN
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-NSW,D2G7KL3RP76WQFBZWF0
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-VIC,D2G7KL3RP76WQFBZWF2
Active Relationship, ABC Classic - MP3 streams,P37F0P2,Business,ABC Classic-MP3 Stream-NT,D2G7KL3RP76WQFBZWDM
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-NT,D2G7KL7NUL7XSLGSD6B
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-VIC,D2G7KL7NUL7XSLGSD6O
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-QLD,D2G7KL7NUL7XSLGSD6Q
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-National,D2G7KL7NUL7XSLGSD6S
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-WA,D2G7KL7NUL7XSLGSD7P
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-NSW,D2G7KL7NUL7XSLGSD7R
Active Relationship,ABC Classic - HLS Streams,PM410Z9,Business,ABC Classic-HLS Stream-SA,D2G7KL7NUL7XSLGSD68
Active Relationship,ABC Radio Australia - MP3 Streams,PIUCMJJ,Business,ABC Radio Australia-Multi Language-MP3 Stream,D2G7KLBJZZ8YURLKTYV
Active Relationship,ABC Radio Australia - MP3 Streams,PIUCMJJ,Business,ABC Radio Australia-English-MP3 Stream,D2G7KLBJZZ8YURLKTYF
Active Relationship,ABC Radio Australia - HLS Streams,PEIRM7W,Business,ABC Radio Australia-English-HLS Stream,D2G7KLFG5D9ZWXQDAR9
Active Relationship,ABC Radio Australia - HLS Streams,PEIRM7W,Business,ABC Radio Australia-Multi Language-HLS Stream,D2G7KLFG5D9ZWXQDAS4
Active Relationship,ABC Radio National - MP3 Streams,PB93LV6,Business,ABC Radio National-MP3 Stream-QLD,D2G7KLJCARB0Z3V5RJJ
Active Relationship,ABC Radio National - MP3 Streams,PB93LV6,Business,ABC Radio National-MP3 Stream-WA,D2G7KLJCARB0Z3V5RJU
Active Relationship,ABC Radio National - MP3 Streams,PB93LV6,Business,ABC Radio National-MP3 Stream-NT,D2G7KLJCARB0Z3V5RK9
Active Relationship,ABC Radio National - MP3 Streams,PB93LV6,Business,ABC Radio National-MP3 Stream-NSW,D2G7KLJCARB0Z3V5RKQ
Active Relationship,ABC Radio National - MP3 Streams,PB93LV6,Business,ABC Radio National-MP3 Stream-VIC,D2G7KLJCARB0Z3V5RKT
Active Relationship,ABC Radio National - MP3 Streams,PB93LV6,Business,ABC Radio National-MP3 Stream-SA,D2G7KLJCARB0Z3V5RJC
Active Relationship,ABC Radio National- HLS Streams,PXZFKFG,Business,ABC Radio National-HLS Stream-NT,D2G7KLN8G5C219ZY8BO
Active Relationship,ABC Radio National- HLS Streams,PXZFKFG,Business,ABC Radio National-HLS Stream-SA,D2G7KLN8G5C219ZY8BV
Active Relationship,ABC Radio National- HLS Streams,PXZFKFG,Business,ABC Radio National-HLS Stream-WA,D2G7KLN8G5C219ZY8C1
Active Relationship,ABC Radio National- HLS Streams,PXZFKFG,Business,ABC Radio National-HLS Stream-NSW,D2G7KLN8G5C219ZY8CD
Active Relationship,ABC Radio National- HLS Streams,PXZFKFG,Business,ABC Radio National-HLS Stream-QLD,D2G7KLN8G5C219ZY8DM
Active Relationship,ABC Radio National- HLS Streams,PXZFKFG,Business,ABC Radio National-HLS Stream-VIC,D2G7KLN8G5C219ZY8BN
Active Relationship,Double J- MP3 Streams,PU0UK3T,Business,Double J-MP3 Stream-National,D2G7KLR4LJD33G4QP49
Active Relationship,Double J- MP3 Streams,PU0UK3T,Business,Double J-MP3 Stream-SA,D2G7KLR4LJD33G4QP4P
Active Relationship,Double J- MP3 Streams,PU0UK3T,Business,Double J-MP3 Stream-QLD,D2G7KLR4LJD33G4QP5F
Active Relationship,Double J- MP3 Streams,PU0UK3T,Business,Double J-MP3 Stream-WA,D2G7KLR4LJD33G4QP5L
Active Relationship,Double J- MP3 Streams,PU0UK3T,Business,Double J-MP3 Stream-NSW,D2G7KLR4LJD33G4QP5T
Active Relationship,Double J- MP3 Streams,PU0UK3T,Business,Double J-MP3 Stream-NT,D2G7KLR4LJD33G4QP45
Active Relationship,Double J- HLS Streams,PQR6JR3,Business,Double J-HLS Stream-SA,D2G7KLV0QXE45M9J5WY
Active Relationship,Double J- HLS Streams,PQR6JR3,Business,Double J-HLS Stream-National,D2G7KLV0QXE45M9J5XS
Active Relationship,Double J- HLS Streams,PQR6JR3,Business,Double J-HLS Stream-NSW,D2G7KLV0QXE45M9J5Y0
Active Relationship,Double J- HLS Streams,PQR6JR3,Business,Double J-HLS Stream-NT,D2G7KLV0QXE45M9J5YA
Active Relationship,Double J- HLS Streams,PQR6JR3,Business,Double J-HLS Stream-WA,D2G7KLV0QXE45M9J5YG
Active Relationship,Double J- HLS Streams,PQR6JR3,Business,Double J-HLS Stream-QLD,D2G7KLV0QXE45M9J5WI
Active Relationship,triple j- MP3 Streams,P9EIIBD,Business,triple j-MP3 Stream-National,D2G7KLYWWBF57SEBMP8
Active Relationship,triple j- MP3 Streams,P9EIIBD,Business,triple j-MP3 Stream-QLD,D2G7KLYWWBF57SEBMPN
Active Relationship,triple j- MP3 Streams,P9EIIBD,Business,triple j-MP3 Stream-NT,D2G7KLYWWBF57SEBMQ4
Active Relationship,triple j- MP3 Streams,P9EIIBD,Business,triple j-MP3 Stream-WA,D2G7KLYWWBF57SEBMQN
Active Relationship,triple j- MP3 Streams,P9EIIBD,Business,triple j-MP3 Stream-NSW,D2G7KLYWWBF57SEBMQO
Active Relationship,triple j- MP3 Streams,P9EIIBD,Business,triple j-MP3 Stream-SA,D2G7KLYWWBF57SEBMP2
Active Relationship,triple j- HLS Streams,P65XHMQ,Business,triple j-HLS Stream-NSW,D2G7KM2T1PG69YJ43ID
Active Relationship,triple j- HLS Streams,P65XHMQ,Business,triple j-HLS Stream-NT,D2G7KM2T1PG69YJ43IP
Active Relationship,triple j- HLS Streams,P65XHMQ,Business,triple j-HLS Stream-SA,D2G7KM2T1PG69YJ43IT
Active Relationship,triple j- HLS Streams,P65XHMQ,Business,triple j-HLS Stream-QLD,D2G7KM2T1PG69YJ43IZ
Active Relationship,triple j- HLS Streams,P65XHMQ,Business,triple j-HLS Stream-National,D2G7KM2T1PG69YJ43JA
Active Relationship,triple j- HLS Streams,P65XHMQ,Business,triple j-HLS Stream-WA,D2G7KM2T1PG69YJ43JD
Active Relationship,HLS itinerant streams,P2W9HN0,Business,Itinerant stream 1-HLS Stream-National,D2G7KM6P73H7C4NWKAM
Active Relationship,HLS itinerant streams,P2W9HN0,Business,Itinerant stream 3-HLS Stream-National,D2G7KM6P73H7C4NWKB6
Active Relationship,HLS itinerant streams,P2W9HN0,Business,Itinerant stream 2-HLS Stream-National,D2G7KM6P73H7C4NWKBA
Active Relationship,HLS itinerant streams,P2W9HN0,Business,Itinerant stream 4-HLS Stream-National,D2G7KM6P73H7C4NWKAC
Active Relationship,DTV Regional NSW,PQYM2G6,Business,ABC TV SD-DTV-NSW,D2G7KR5S30SK3YSA0PN
Active Relationship,DTV Regional NSW,PQYM2G6,Business,ABC TV HD-DTV-NSW,D2G7KR5S30SK3YSA0PQ
Active Relationship,DTV Regional NSW,PQYM2G6,Business,ABC TV KIDSFamily-DTV-NSW,D2G7KR5S30SK3YSA0PR
Active Relationship,DTV Regional NSW,PQYM2G6,Business,ABC News-DTV-NSW,D2G7KR5S30SK3YSA0PW
Active Relationship,DTV Regional NSW,PQYM2G6,Business,ABC Entertains-DTV-NSW,D2G7KR5S30SK3YSA0PK
Active Relationship,DTV Regional NT,P9MB23G,Business,ABC TV HD-DTV-NT,D2G7KR9O8ETL64X2HHJ
Active Relationship,DTV Regional NT,P9MB23G,Business,ABC TV SD-DTV-NT,D2G7KR9O8ETL64X2HHR
Active Relationship,DTV Regional NT,P9MB23G,Business,ABC Entertains-DTV-NT,D2G7KR9O8ETL64X2HHG
Active Relationship,DTV Regional NT,P9MB23G,Business,ABC TV KIDSFamily-DTV-NT,D2G7KR9O8ETL64X2HIB
Active Relationship,DTV Regional NT,P9MB23G,Business,ABC News-DTV-NT,D2G7KR9O8ETL64X2HHY
Active Relationship,DTV Regional Queensland,P6QQ1RT,Business,ABC TV KIDSFamily-DTV-QLD,D2G7KRDKDSUM8B1UYA5
Active Relationship,DTV Regional Queensland,P6QQ1RT,Business,ABC TV SD-DTV-QLD,D2G7KRDKDSUM8B1UYAK
Active Relationship,DTV Regional Queensland,P6QQ1RT,Business,ABC TV HD-DTV-QLD,D2G7KRDKDSUM8B1UYAL
Active Relationship,DTV Regional Queensland,P6QQ1RT,Business,ABC Entertains-DTV-QLD,D2G7KRDKDSUM8B1UYAQ
Active Relationship,DTV Regional Queensland,P6QQ1RT,Business,ABC News-DTV-QLD,D2G7KRDKDSUM8B1UYA2
Active Relationship,DTV Regional Tasmania,P2E20C3,Business,ABC TV KIDSFamily-DTV-TAS,D2G7KRHGJ6VNAH6NF2E
Active Relationship,DTV Regional Tasmania,P2E20C3,Business,ABC Entertains-DTV-TAS,D2G7KRHGJ6VNAH6NF2H
Active Relationship,DTV Regional Tasmania,P2E20C3,Business,ABC TV HD-DTV-TAS,D2G7KRHGJ6VNAH6NF2T
Active Relationship,DTV Regional Tasmania,P2E20C3,Business,ABC News-DTV-TAS,D2G7KRHGJ6VNAH6NF34
Active Relationship,DTV Regional Tasmania,P2E20C3,Business,ABC TV SD-DTV-TAS,D2G7KRHGJ6VNAH6NF39
Active Relationship,DTV Regional SA,PLAO0MN,Business,ABC TV HD-DTV-SA,D2G7KRLCOKWOCNBFVV6
Active Relationship,DTV Regional SA,PLAO0MN,Business,ABC Entertains-DTV-SA,D2G7KRLCOKWOCNBFVV2
Active Relationship,DTV Regional SA,PLAO0MN,Business,ABC TV SD-DTV-SA,D2G7KRLCOKWOCNBFVV8
Active Relationship,DTV Regional SA,PLAO0MN,Business,ABC TV KIDSFamily-DTV-SA,D2G7KRLCOKWOCNBFVUW
Active Relationship,DTV Regional SA,PLAO0MN,Business,ABC News-DTV-SA,D2G7KRLCOKWOCNBFVUR
Active Relationship,DTV Regional Victoria,PI1009K,Business,ABC News-DTV-VIC,D2G7KRP8TYXPETG8CNR
Active Relationship,DTV Regional Victoria,PI1009K,Business,ABC TV HD-DTV-VIC,D2G7KRP8TYXPETG8CNT
Active Relationship,DTV Regional Victoria,PI1009K,Business,ABC TV KIDSFamily-DTV-VIC,D2G7KRP8TYXPETG8CNU
Active Relationship,DTV Regional Victoria,PI1009K,Business,ABC TV SD-DTV-VIC,D2G7KRP8TYXPETG8CO1
Active Relationship,DTV Regional Victoria,PI1009K,Business,ABC Entertains-DTV-VIC,D2G7KRP8TYXPETG8CNF
Active Relationship,DTV Regional WA,PERBMXX,Business,ABC News-DTV-WA,D2G7KRT4ZCYQGZL0TG3
Active Relationship,DTV Regional WA,PERBMXX,Business,ABC Entertains-DTV-WA,D2G7KRT4ZCYQGZL0TG1
Active Relationship,DTV Regional WA,PERBMXX,Business,ABC TV SD-DTV-WA,D2G7KRT4ZCYQGZL0TG0
Active Relationship,DTV Regional WA,PERBMXX,Business,ABC TV KIDSFamily-DTV-WA,D2G7KRT4ZCYQGZL0TFW
Active Relationship,DTV Regional WA,PERBMXX,Business,ABC TV HD-DTV-WA,D2G7KRT4ZCYQGZL0TFP
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-AM-NSW-Nowra,D2G7L6Y5XWYUWU7Q44A
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,triple j-FM-NSW-Manning River,D2G7L6Y5XWYUWU7Q450
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-AM-NSW-Wollongong,D2G7L6Y5XWYUWU7Q44Z
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,triple j-FM-NSW-GraftonKempsey,D2G7L6Y5XWYUWU7Q44T
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,triple j-FM-NSW-Murrumbidgee Irrigation,D2G7L6Y5XWYUWU7Q44Q
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-FM-NSW-Batemans BayMoruya,D2G7L6Y5XWYUWU7Q44P
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Classic-FM-NSW-SW SlopesE Riverina,D2G7L6Y5XWYUWU7Q44F
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC NewsRadio-FM-NSW-Batemans BayMoruya,D2G7L6Y5XWYUWU7Q44D
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-FM-NSW-Upper Namoi,D2G7L6Y5XWYUWU7Q44B
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC NewsRadio-FM-NSW-SW SlopesE Riverina,D2G7L6Y5XWYUWU7Q451
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Classic-FM-NSW-Illawarra,D2G7L6Y5XWYUWU7Q449
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC NewsRadio-FM-NSW-Central Western Slopes,D2G7L6Y5XWYUWU7Q446
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Classic-FM-NSW-Manning River,D2G7L6Y5XWYUWU7Q443
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,triple j-FM-NSW-BegaCooma,D2G7L6Y5XWYUWU7Q442
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC NewsRadio-FM-NSW-Illawarra,D2G7L6Y5XWYUWU7Q441
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Classic-FM-NSW-GraftonKempsey,D2G7L6Y5XWYUWU7Q440
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC NewsRadio-FM-NSW-Murrumbidgee Irrigation,D2G7L6Y5XWYUWU7Q43X
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Classic-FM-NSW-Central Tablelands,D2G7L6Y5XWYUWU7Q43T
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-FM-NSW-RichmondTweed,D2G7L6Y5XWYUWU7Q43S
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-FM-NSW-Manning River,D2G7L6Y5XWYUWU7Q45Y
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Classic-FM-NSW-Central Western Slopes,D2G7L6Y5XWYUWU7Q46M
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-FM-NSW-BegaCooma,D2G7L6Y5XWYUWU7Q46L
Active Relationship,ABC National Networks - Regional NSW FM/AM,PUIZZEF,Business,ABC Radio National-FM-NSW-Murrumbidgee Irrigation,D2G7L6Y5XWYUWU7Q46B
