Report Type,Service Name,Service ID,Service Type,Depends On (Target),Dependency ID
Active Relationship,ABC Account API,PQ4TF9L,Business,Login & Consent Mgmt (Gigya),D2EB8EPD079H7MO8WLY
Active Relationship,Kirby (iview Data Ingestion Service),PDJ128W,Business,Terminus API,D2EB8WBXEPXA1ED4XD0
Active Relationship,Email Newsletters (SFMC),PZQSC21,Business,Profiles Event Bus,D2EB8S7ZPWU5QXB37F0
Active Relationship,Kids App,PX450TF,Business,iview API,D2EB8Q60VIALLOS2CFL
Active Relationship,iview XBOX,POETT5H,Business,iview API,D2EB8GV7ZZU2F1C28HD
Active Relationship,Chartbeat Analytics,P2JJ9S4,Business,Regional and Local Sites (x54 Sites),D2EB8UXBGNJW96MUV4R
Active Relationship,iView Web,PLYQ3N8,Business,Login & Consent Mgmt (Gigya),D2EB8PQG9Y6HD08WH7A
Active Relationship,triple j Web,PHNWJVG,Business,App Framework (Next.js),D2EB8QX9X8HT0VPLLW1
Active Relationship,Syndication Engine,P9CKKMB,Business,Terminus API,D2EB8K40HOOY85BS82S
Active Relationship,Jazz Web,PCELWPO,Business,App Framework (Next.js),D2EB8MTC8FEOQENJVV5
Active Relationship,Radio National,PG6UQZY,Business,Core Next,D2EB8HEOQXZ7PW00KE4
Active Relationship,ABC listen Push Notifications (Google Firebase),PODNGQ1,Business,ABC Listen App,D2EB8XUFI6BOVS87GHE
Active Relationship,ABC iview Australia App (iview International),P1P3DIK,Business,iview API,D2EB8RSF4CQ1I8RXCA9
Active Relationship,Disco (PAX Data Service),P7J7Z8Y,Business,Terminus API,D2EB8SNKBGY9ZLU92HW
Active Relationship,Terminus API,P35H2A0,Business,Music API (MAPI),D2EB8J8VAKGPQS9GHQI
Active Relationship,Preview,PMUASEQ,Business,App Framework (Next.js),D2EB8TYA45AMPNFQO0H
Active Relationship,iview App (Native),PTDEFMO,Business,Recommendations Engine,D2EB8ELGUT8G5GJGFRU
Active Relationship,iview CTV (Smart TVs),PY0SPKK,Business,Recommendations Engine,D2EB8UDUPPEQYBYWJ4Q
Active Relationship,DRM (BuyDRM),PPIVM22,Business,Metro (Transcoder),D2EB8QDT6ACNQ11N9Y2
Active Relationship,Chartbeat Analytics,P2JJ9S4,Business,triple j Web,D2EB8UXBGNJW96MUV57
Active Relationship,Taxonomy Suggestions for Editors,P6W7N4U,Business,Automated Metadata Engine (AME),D2EB8UTFB9IV70I2EAX
Active Relationship,Country Web,PC3TQN9,Business,Core Next,D2EB8NW9QBOZC3ZGJSS
Active Relationship,Search (Algolia),PQMYULN,Business,Disco (PAX Data Service),D2EB8ZWECKV910R8BI3
Active Relationship,Hottest 100 Voting (MIK),P28R3Q2,Business,Login & Consent Mgmt (Gigya),D2EB8W08YJU6UVYRJ12
Active Relationship,iview App (Native),PTDEFMO,Business,iview API,D2EB8ELGUT8G5GJGFW1
Active Relationship,Double J Web,P06IY6J,Business,App Framework (Next.js),D2EB8Z91G8P2NZYHIQ9
Active Relationship,News App,P91SEKZ,Business,Terminus API,D2EB8L6XZKZ8TUNOVZ8
Active Relationship,Event Pipeline (Snowplow),PRK1U88,Business,ABC KIDS Listen App,D2EB8N50OLHRWX1XAAQ
Active Relationship,Radio National,PG6UQZY,Business,App Framework (Next.js),D2EB8HEOQXZ7PW00KCX
Active Relationship,Composer API (SFMC Template Composer),PXQ2GBB,Business,Terminus API,D2EB8EHKPF7F3AENYZO
Active Relationship,ABC Listen App,P4LREYN,Business,Login & Consent Mgmt (Gigya),D2EB8ROIYYP0G2N4VFA
Active Relationship,ABC KIDS Listen App,P8FULCD,Business,Terminus API,D2EB8WVE5O2FC9139B8
Active Relationship,iview CMS (Dashboard),PJ4N89J,Business,Kirby (iview Data Ingestion Service),D2EB8IDQ3G8H9F74RJ1
Active Relationship,News App,P91SEKZ,Business,Recommendations Engine,D2EB8L6XZKZ8TUNOVYY
Active Relationship,Hottest 100 Voting (MIK),P28R3Q2,Business,reCAPTCHA,D2EB8W08YJU6UVYRIZ8
Active Relationship,ABC Kids listen Web,P8GAYVW,Business,Core Next,D2EB8FW6NHKSVI4Y1BW
Active Relationship,iview Chromecast Receiver,PVOXOVV,Business,iview API,D2EB8HQD742AWEEDYSX
Active Relationship,ABC Account,PJP2RBM,Business,Disco (PAX Data Service),D2EB8NOHFJMX7RPVM7V
Active Relationship,iView Web,PLYQ3N8,Business,"SeeSaw (Favourites, History, Prefs)",D2EB8PQG9Y6HD08WH58
Active Relationship,triple j Push Notifications (Google Firebase),PADT165,Business,triple j App,D2EB8Q24Q49KJIN9VJS
Active Relationship,triple j Unearthed,PK8PE64,Business,Terminus API,D2EB8RWB9QR2KEWPSYS
Active Relationship,iview Chromecast Receiver,PVOXOVV,Business,iview App (Native),D2EB8HQD742AWEEDYNT
Active Relationship,Everyday,PUYJVAA,Business,App Framework (Next.js),D2EB8ZSI76U7YUMFUOH
Active Relationship,"Content API (wCMS, CAPI)",PV2ZVNZ,Business,wCMS (CoreMedia 11),D2EB8TETD75HESRSC0G
Active Relationship,triple j App,P1FGDVJ,Business,Login & Consent Mgmt (Gigya),D2EB8LEQAD1AY6X9TLI
Active Relationship,Push Notifications (TBC),P9U04EF,Business,Measurement & Notifications (Google Firebase),D2EB8VSGNRS4QJP6LEH
Active Relationship,Chromecast Receiver,P83MFAB,Business,triple j Chromecast Receiver,D2EB8XYBNKCPXYCZX9J
Active Relationship,iview PS4,PFKWXRC,Business,iview API,D2EB8T34X12E8ADEXRL
Active Relationship,News App,P91SEKZ,Business,News Web,D2EB8L6XZKZ8TUNOW1B
